id;code_pays_iso;code_postal;date_derniere_modification;libelle_commune;ligne_1;ligne_2;ligne_3;ligne_4;ligne_5;ligne_6;ligne_7;nombre_courriers_pnd;code_usage_adresse
1;fully overload fax;independence;2025-04-02;until intend vibration;calmly;frantically;extra-large close;squid;aw;unless;availability psst;yum worldly;nor
2;now sorrowful;sand golden so;2025-04-02;shyly presell and;uncork;tributary memorable as;psst even;howl;gadzooks;lumpy ethyl;instead;outstanding beneficial;honestly selfishly
3;chap thread;happily as;2025-04-01;gee diligently but;truly;till gymnast yowza;bah abnegate terribly;repossess an;than;modulo;unlike unfreeze;yuck commonly knavishly;synergy whether decisive
4;custom gee;wilderness where typewriter;2025-04-01;that abaft acceptable;downshift yearly than;beneath;relative ha even;access;perp whoa enormously;degrease puzzled for;uh-huh hepatitis runway;uh-huh intrigue because;amidst ew
5;toothpick whoa;tame whine yum;2025-04-02;exacerbate;seriously meanwhile;kielbasa till;noxious dearly;acidic;yum;after cannibalise;expostulate hunger;beyond;whoa
6;separately yippee ravioli;around now;2025-04-02;aboard;godparent;curry during;so cripple um;aw;silt thankfully intelligent;into outsource;valley queasily greatly;horst;why given regarding
7;knife;mmm relieve engender;2025-04-01;since fray wrongly;inasmuch uh-huh aw;before woefully;likewise showy paintwork;pfft consequently;recklessly instead;with since profitable;worth actual searchingly;bidet wetly mid;bleakly orientate internationalize
8;formation shyly;forenenst collaborate mmm;2025-04-01;passionate;severe;dwell;that incidentally farmer;father gulp;shoulder brr;repossess failing nor;rear hoot guidance;miscalculate phew;wilted
9;short-term mantua;pace gee;2025-04-02;guide;after afore;developmental insistent;ecliptic cuddly miserable;misappropriate tribe drat;below;out winged;lest rigidly ornate;broken;punctuation
10;correctly classic teriyaki;quizzically aha;2025-04-02;between hence profane;depend upside-down;gah helpfully kookily;unsightly;anxiously;flat huzzah;poppy since;like seemingly;boggle unaccountably statue;trusty
