id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic;pm_entreprise_id
1;consequently;colonialism;sternly;gosh;blah;apud sorrowful;ew circulate in;baseboard hurtful;at neck velvety;huddle meh;deliquesce upwardly partially;boo till;until;gape pish;unfit readmit minority;busily outstanding onto;quiet whether;agile abaft zowie;pile;qua defiantly barring;though lest;unsung;1
2;self-reliant hoick underneath;wrongly howl;gently randomize jungle;ring though appropriate;furthermore;tame for beyond;where;sunbeam;qua so;flustered as skean;ha incidentally;majestic;unlawful instead wildly;seriously;in agreement unabashedly;unless;outrun screw;gah dampen under;when nor;pulse uh-huh;middle;boo;2
3;meanwhile;pulp;from;round;commercial;than impostor snack;mash instead;never separately wherever;aha whereas usher;simple merge woot;colorful;although;ack hunger;vacantly;aside above out;char kowtow truthfully;gadzooks;ew on;unless loosely carefree;faraway when fence;pull rapidly;jealous mousse;3
4;likewise celsius;among;hmph;mortar;huzzah;innocently than;instead quash;so over the;ha lest what;hydrolyse;because verve tune-up;smoke dress;whether;an;cooperative beneath;instead absent drat;rubric alienated;over reproach;unnaturally ah;yogurt exhaust pantyhose;frail;exterior;4
5;oof;between intently avalanche;inscribe nervously;markup subdued;immediately upliftingly seriously;ignite;which below;happy unsteady excepting;flawless legal youthful;ha behind geez;towards;until quit;versus swanling;misguided rue glum;astride fork unexpectedly;yippee wearily uselessly;um;pry after;unless;emergent seagull out;urgently blah;aw retention dispose;5
6;gee waltz;passport than;adventurously about carelessly;leap;provided;inculcate fat pro;airport grumpy;gah following as;blah utilized wilted;worse meh doubtfully;lack while;shy agile;because um ditch;idealistic rawhide;and why;pillow zowie;yuppify;hm after quizzically;negotiation following;spanish baa;famously properly plus;serpentine brr;6
7;incidentally;round;aw critical nor;lowball;monthly;when glass magnificent;barring who;cloudy neatly;masquerade toward alongside;midst brr;depart amid;antagonize;now;fledgling bleakly;boldly ack;pointless christen;royal;closed;motivate fooey at;oof meanwhile;break;although what plumber;7
8;airport sizzle;surface;pleasing stack qua;wherever;congregate eek;out now;across;elegantly hm vainly;below;huzzah;terribly direct director;in testify;misreport;who;hence;affect and;whenever irk urgently;blank angrily;now naturally;yum;around wherever;incidentally correctly schlep;8
9;versus;availability yahoo;regarding zowie angelic;whether jive;glossy;past pro;emerge cork;aha nor;see uproot;gah;iridescence hence ugh;gripping past;among veto;impolite abaft popularity;to;lanky failing;pike;scruple oh;oh;the;tough powerful;gee;9
10;eek before;horse;fast lieu;pillory;ack coexist;however mature;after er fooey;meh however;present;secret shanghai;er noisily;aside;unearth;husband;duster;er ew via;mockingly gee;circulate tame;for phooey gosh;shore underneath;true roasted seemingly;finding impassioned;10
