id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;plain boohoo;pink urgently whispered;2025-04-02;or quarterly basket;freely casket;fill gratefully whether;as bump;hopelessly accredit
2;giving;although a;2025-04-01;dislocate;towards;after until;regularly blah;though
3;chilly though;know;2025-04-01;pish dash colour;wisely between;before whoever unless;procrastinate;to carp scuttle
4;when so painfully;developing midst fit;2025-04-01;considerate anti;indeed;considering helplessly;accurate forenenst;behind
5;however;bore why;2025-04-01;so;knottily;never concerning athwart;lest gee;injunction because
6;ugh concerning;extremely yippee brandish;2025-04-01;sleepily father phooey;yippee blah manner;before nucleotidase obesity;athwart fooey;massive boohoo
7;foolishly absent solace;euphonium in;2025-04-01;upwardly woot;resort majestically lest;squeaky;rural stool;instead archive awful
8;key stay whoever;defensive onto;2025-04-02;divine corrupt;uneven;after profitable peaceful;psst neck;well
9;clinking;swine disarm tough;2025-04-02;lively whose;paltry sandbar;gifted before phew;inferior configuration;enroll bare
10;gadzooks;of;2025-04-01;forgather between inside;boohoo highly;intermix until;function phew;white mortally chunder
