id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
1;phew replacement busily;psst snowplow explode;while likely;tangible curiously verbally;illustrious;drat;instantly;begonia;2025-04-01;2025-04-01;2025-04-02;fiddle commonly;fess;2025-04-02;2025-04-01;bootleg fine;illusion;above innocent whoever;unlined;yet inspect uh-huh;what;pointless goat off;pace because while
2;yum indeed onto;before pfft rigidly;since;gurn as always;reflecting vastly;nectarine solace;pry potentially;firsthand aw waltz;2025-04-01;2025-04-01;2025-04-02;noisily yuck hmph;failing zowie;2025-04-01;2025-04-02;arraign;phooey until boohoo;wavy pfft;more mmm hoarse;chow solder hourly;the who if;that as;to alongside
3;until misfire;incidentally instruction;like;unfreeze;oh;ha whenever tomography;near pointed;defenseless unlearn cautiously;2025-04-01;2025-04-02;2025-04-02;heavily smoothly throughout;cross-contamination crushing;2025-04-02;2025-04-02;homely defiantly after;astride whenever deceivingly;consequently unzip bind;between mature;monumental yuck elevator;inexperienced supposing for;tomb milky;steel joyfully
4;enhance kettledrum;ha;wobbly restfully pine;gah mmm;but;rot;nor smoothly ski;mallard;2025-04-01;2025-04-02;2025-04-02;mid phew delicious;bolster;2025-04-01;2025-04-02;gullible meh golden;priesthood but whether;ragged;vol um;sizzle;inside yippee anenst;over;scrabble
5;gleaming;poppy;pleased now majestic;crocodile;even coordination yippee;valuable;finally frightfully;than majestic bulky;2025-04-02;2025-04-02;2025-04-01;inventory;drat;2025-04-01;2025-04-01;ramp though;swing verbally;nervous;outrank joyously over;circular;elegantly regularly recommendation;far fooey quart;mob within
6;gah;whose a helpfully;violently physically;ha unimpressively;but;see meanwhile;deduction;faithfully delete;2025-04-02;2025-04-02;2025-04-01;why psst;hurtful outlandish;2025-04-02;2025-04-02;gee below;er;promise;perfectly baa afore;sans ugh dearly;officially;typify worth;ha lest
7;yuck and yippee;mmm;boring lest when;eventually gosh tenant;clone;always finally synergy;wherever;opposite;2025-04-02;2025-04-01;2025-04-01;ruin metal whether;hateful geez cute;2025-04-01;2025-04-02;although behind;dissemble;stable tromp;into zowie during;as ugh across;reluctantly paltry;terribly unto likewise;dampen rust lanky
8;hepatitis;stranger sidetrack;untidy heavily;expansion zowie conceptualize;ugh pinion;safely gee;busily;utilization rekindle;2025-04-01;2025-04-02;2025-04-01;stealthily resolve;creative;2025-04-02;2025-04-02;yuck;yet hot yuck;granular afterwards uh-huh;er rowdy finally;beep testify;supposing yet;ha;ew eventually antique
9;dimly along;outside;imaginative stir-fry beautifully;complete slip;unearth calculus;ick;woot married;or formal out;2025-04-01;2025-04-02;2025-04-02;violently even ick;boldly pointed awkwardly;2025-04-01;2025-04-01;achieve;but;across zowie emulsify;yet geez because;necklace bah;drat belabor;or yawningly where;mortise
10;of;brr coaxingly;till below;stable hunt;knowledgeably;upliftingly perky language;indeed which;but madly;2025-04-02;2025-04-02;2025-04-02;obesity;ravage;2025-04-01;2025-04-01;gee nearly;pecan alongside urgently;reluctantly alongside;closely reflecting beside;before;faithfully scope;marksman;partridge
