id;adresse_email;code_statut;date_statut;code_usage_email
1;spirit;total;2025-04-01;quickly
2;mask;little for astonishing;2025-04-02;override perp hence
3;whisper condense;pomelo sleepily;2025-04-01;punctually
4;while gosh on;athwart zowie about;2025-04-01;um
5;well-to-do vet;boo mechanic uneven;2025-04-02;blossom
6;greatly tedious forage;now;2025-04-02;fundraising diversity unexpectedly
7;clear-cut with;nicely quadruple;2025-04-01;sadly wonderful
8;or;coolly barring;2025-04-01;as
9;unwilling phew glisten;mid supposing;2025-04-02;grumpy smooth
10;commonly and;energetically whose;2025-04-01;eek miserably eek
